comuna,2020-04-12,2020-04-14,2020-04-16,2020-04-19,2020-04-23,2020-04-26,2020-04-30,2020-05-04,2020-05-07,2020-05-10,2020-05-14,2020-05-17,2020-05-21,2020-05-24,2020-05-28,2020-05-31,2020-06-04,2020-06-07,2020-06-11,2020-06-14
Curaco de Velez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dalcahue,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,2,0,0,0,1
Fresia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Frutillar,4,4,2,2,0,0,0,0,0,0,1,1,0,2,4,5,3,1,1,3
Futaleufu,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Hualaihue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Llanquihue,1,0,1,0,0,0,0,0,0,5,5,5,3,0,0,0,0,0,2,2
Los Muermos,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1
Maullin,1,1,2,1,0,0,0,0,0,0,0,2,13,14,10,8,1,0,0,0
Osorno,63,44,39,34,27,24,23,25,22,24,26,19,18,11,13,25,43,37,30,28
Palena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Montt,11,10,7,8,5,4,1,0,0,2,9,10,32,48,50,52,77,77,77,104
Puerto Octay,0,0,0,0,1,3,3,0,2,2,2,2,0,0,0,0,0,0,0,0
Puerto Varas,4,3,4,2,0,0,0,0,0,0,0,1,3,6,7,5,13,17,19,22
Puqueldon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purranque,13,8,5,2,1,1,2,2,5,4,6,4,5,7,26,29,27,15,3,2
Puyehue,1,0,0,0,0,1,2,1,2,2,2,0,0,0,0,2,1,1,0,1
Queilen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quellon,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Quemchi,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,11,8,6,1,0
Quinchao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rio Negro,2,2,1,0,1,1,6,6,5,4,9,8,6,5,6,6,5,1,0,0
San Juan de la Costa,13,5,4,3,8,9,8,8,3,7,7,7,4,1,0,0,0,0,6,7
San Pablo,4,4,1,2,2,2,0,1,0,0,0,1,1,1,1,1,1,0,0,0
Aysen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,0,2
Chile Chico,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cisnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cochrane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coyhaique,0,0,0,0,0,0,0,0,1,1,1,1,0,2,4,5,4,4,2,4
Guaitecas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lago Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OHiggins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Ibanez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tortel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antartica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo de Hornos,3,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0
Laguna Blanca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natales,1,0,1,1,0,0,0,0,1,1,0,1,2,2,2,1,0,0,0,0
Porvenir,1,0,1,4,2,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Primavera,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Punta Arenas,207,179,173,181,147,126,96,116,146,136,107,96,64,65,67,52,38,37,42,109
Rio Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Gregorio,0,0,0,0,0,0,0,0,1,1,2,1,2,0,0,0,0,0,0,0
Timaukel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Torres del Paine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
